date,platform,content_type,reach,likes,comments,shares,clicks,conversions,engagement,engagement_rate,conversion_rate,hour,day_of_week,month
2024-01-01 00:00:00,Instagram,Image,5562,645,44,88,200,27,777,13.97,0.485,0,Monday,2024-01
2024-01-01 02:00:00,Facebook,Video,4730,382,87,58,104,25,527,11.14,0.529,2,Monday,2024-01
2024-01-01 04:00:00,Twitter,Text,1163,121,11,52,85,4,184,15.82,0.344,4,Monday,2024-01
2024-01-01 06:00:00,Twitter,Video,5606,353,74,109,338,56,536,9.56,0.999,6,Monday,2024-01
2024-01-01 08:00:00,Instagram,Image,5282,420,42,208,219,44,670,12.68,0.833,8,Monday,2024-01
2024-01-01 10:00:00,Instagram,Story,4467,299,29,222,131,53,550,12.31,1.186,10,Monday,2024-01
2024-01-01 12:00:00,Instagram,Image,5214,660,56,149,298,28,865,16.59,0.537,12,Monday,2024-01
2024-01-01 14:00:00,Facebook,Story,3983,329,46,129,282,12,504,12.65,0.301,14,Monday,2024-01
2024-01-01 16:00:00,Twitter,Video,5268,644,84,216,110,52,944,17.92,0.987,16,Monday,2024-01
2024-01-01 18:00:00,Twitter,Image,3540,155,80,175,133,11,410,11.58,0.311,18,Monday,2024-01
2024-01-01 20:00:00,Instagram,Video,6581,832,46,98,518,55,976,14.83,0.836,20,Monday,2024-01
2024-01-01 22:00:00,Facebook,Video,5144,641,59,190,286,39,890,17.3,0.758,22,Monday,2024-01
2024-01-02 00:00:00,Facebook,Text,2268,188,23,92,76,19,303,13.36,0.838,0,Tuesday,2024-01
2024-01-02 02:00:00,Instagram,Video,8625,546,150,343,285,14,1039,12.05,0.162,2,Tuesday,2024-01
2024-01-02 04:00:00,Instagram,Image,4727,590,27,186,191,29,803,16.99,0.613,4,Tuesday,2024-01
2024-01-02 06:00:00,Instagram,Image,3709,492,43,106,77,7,641,17.28,0.189,6,Tuesday,2024-01
2024-01-02 08:00:00,Instagram,Image,3643,345,30,79,217,42,454,12.46,1.153,8,Tuesday,2024-01
2024-01-02 10:00:00,Twitter,Story,4409,198,100,145,237,28,443,10.05,0.635,10,Tuesday,2024-01
2024-01-02 12:00:00,Twitter,Video,3785,498,49,59,238,15,606,16.01,0.396,12,Tuesday,2024-01
2024-01-02 14:00:00,Instagram,Carousel,6696,619,126,308,452,56,1053,15.73,0.836,14,Tuesday,2024-01
2024-01-02 16:00:00,Twitter,Text,2214,154,11,46,73,18,211,9.53,0.813,16,Tuesday,2024-01
2024-01-02 18:00:00,Instagram,Carousel,5968,616,100,63,380,27,779,13.05,0.452,18,Tuesday,2024-01
2024-01-02 20:00:00,Instagram,Text,3232,240,24,44,225,35,308,9.53,1.083,20,Tuesday,2024-01
2024-01-02 22:00:00,Instagram,Video,8752,918,61,228,557,83,1207,13.79,0.948,22,Tuesday,2024-01
2024-01-03 00:00:00,Twitter,Image,2466,161,12,77,175,28,250,10.14,1.135,0,Wednesday,2024-01
2024-01-03 02:00:00,Facebook,Image,3884,375,59,52,205,20,486,12.51,0.515,2,Wednesday,2024-01
2024-01-03 04:00:00,Instagram,Carousel,4600,294,31,103,118,13,428,9.3,0.283,4,Wednesday,2024-01
2024-01-03 06:00:00,Twitter,Text,3122,433,43,97,226,37,573,18.35,1.185,6,Wednesday,2024-01
2024-01-03 08:00:00,Twitter,Image,4221,306,46,110,254,35,462,10.95,0.829,8,Wednesday,2024-01
2024-01-03 10:00:00,Instagram,Carousel,6120,437,46,216,169,45,699,11.42,0.735,10,Wednesday,2024-01
2024-01-03 12:00:00,Twitter,Video,6000,692,134,179,382,46,1005,16.75,0.767,12,Wednesday,2024-01
2024-01-03 14:00:00,Instagram,Carousel,6699,392,36,143,312,52,571,8.52,0.776,14,Wednesday,2024-01
2024-01-03 16:00:00,Instagram,Image,4210,221,102,60,205,31,383,9.1,0.736,16,Wednesday,2024-01
2024-01-03 18:00:00,Facebook,Text,2013,189,13,24,53,14,226,11.23,0.695,18,Wednesday,2024-01
2024-01-03 20:00:00,Facebook,Carousel,2400,249,51,27,119,20,327,13.63,0.833,20,Wednesday,2024-01
2024-01-03 22:00:00,Facebook,Image,3006,196,33,103,222,29,332,11.04,0.965,22,Wednesday,2024-01
2024-01-04 00:00:00,Instagram,Video,8471,647,150,242,265,73,1039,12.27,0.862,0,Thursday,2024-01
2024-01-04 02:00:00,Instagram,Video,7659,732,93,355,162,34,1180,15.41,0.444,2,Thursday,2024-01
2024-01-04 04:00:00,Twitter,Video,4298,462,55,172,203,23,689,16.03,0.535,4,Thursday,2024-01
2024-01-04 06:00:00,Twitter,Image,4184,558,41,61,230,48,660,15.77,1.147,6,Thursday,2024-01
2024-01-04 08:00:00,Instagram,Story,3574,264,54,58,212,42,376,10.52,1.175,8,Thursday,2024-01
2024-01-04 10:00:00,Twitter,Carousel,4027,342,48,104,108,43,494,12.27,1.068,10,Thursday,2024-01
2024-01-04 12:00:00,Instagram,Image,3064,324,42,110,72,30,476,15.54,0.979,12,Thursday,2024-01
2024-01-04 14:00:00,Facebook,Video,3395,455,61,163,98,21,679,20.0,0.619,14,Thursday,2024-01
2024-01-04 16:00:00,Instagram,Story,5210,417,61,78,226,14,556,10.67,0.269,16,Thursday,2024-01
2024-01-04 18:00:00,Twitter,Carousel,5605,635,51,69,297,42,755,13.47,0.749,18,Thursday,2024-01
2024-01-04 20:00:00,Instagram,Video,7370,549,155,232,182,53,936,12.7,0.719,20,Thursday,2024-01
